cik,company_name,symbol,original_security
0000059558,LINCOLN NATIONAL CORP,LNC,Lincoln Financial
0000311094,WESTAMERICA BANCORPORATION,WABC,Westamerica Bank
0000107687,WINNEBAGO INDUSTRIES INC,WGO,"Winnebago Industries, Inc."
0001374310,"Cboe Global Markets, Inc.",CBOE,Cboe Global Markets
0000896622,"APTARGROUP, INC.",ATR,AptarGroup
0001591698,Paylocity Holding Corp,PCTY,Paylocity
0001158172,"COMSCORE, INC.",SCOR,comScore
0001298946,DiamondRock Hospitality Co,DRH,DiamondRock Hospitality Company
0000729986,UNITED BANKSHARES INC/WV,UBSI,United Bankshares
0001567683,"Clearway Energy, Inc.",CWEN,"Clearway, Inc."
0000200406,JOHNSON & JOHNSON,JNJ,Johnson & Johnson
0000771497,ABM INDUSTRIES INC /DE/,ABM,"ABM Industries, Inc."
0000935036,"ACI WORLDWIDE, INC.",ACIW,ACI Worldwide
0001561550,"Datadog, Inc.",DDOG,Datadog
0001084048,"ZIFF DAVIS, INC.",ZD,Ziff Davis
0001364250,Douglas Emmett Inc,DEI,Douglas Emmett
0001413329,Philip Morris International Inc.,PM,Philip Morris International
0000895417,EQUITY LIFESTYLE PROPERTIES INC,ELS,Equity Lifestyle Properties
0000016058,CACI INTERNATIONAL INC /DE/,CACI,CACI International
0001506307,"KINDER MORGAN, INC.",KMI,Kinder Morgan
0000034088,EXXON MOBIL CORP,XOM,ExxonMobil
0000074303,OLIN Corp,OLN,Olin Corporation
0001596532,"Arista Networks, Inc.",ANET,Arista Networks
0000912728,FORWARD AIR CORP,FWRD,Forward Air Corp.
0000874238,"STERLING INFRASTRUCTURE, INC.",STRL,"Sterling Infrastructure, Inc."
0000856982,MERIT MEDICAL SYSTEMS INC,MMSI,"Merit Medical Systems, Inc."
0001025378,W. P. Carey Inc.,WPC,W. P. Carey
0001046025,HERITAGE FINANCIAL CORP /WA/,HFWA,Heritage Financial Corporation
0000886346,KADANT INC,KAI,Kadant Inc.
0000014930,BRUNSWICK CORP,BC,Brunswick
0000717423,MURPHY OIL CORP,MUR,Murphy Oil
0001705696,VICI PROPERTIES INC.,VICI,Vici Properties
0001612630,JOINT Corp,JYNT,The Joint Corp.
0001571123,Science Applications International Corp,SAIC,Science Applications Intl Corp
0001273685,"ADAMAS TRUST, INC.",ADAM,"Adamas Trust, Inc."
0000879101,KIMCO REALTY CORP,KIM,Kimco Realty
0001058090,CHIPOTLE MEXICAN GRILL INC,CMG,Chipotle Mexican Grill
0000063296,MATTHEWS INTERNATIONAL CORP,MATW,Matthews International Corporation
0001397187,lululemon athletica inc.,LULU,Lululemon Athletica
0002041610,Paramount Skydance Corp,PSKY,Paramount Skydance Corporation
0000070858,BANK OF AMERICA CORP /DE/,BAC,Bank of America
0001941365,"MasterBrand, Inc.",MBC,"MasterBrand, Inc."
0001286681,DOMINOS PIZZA INC,DPZ,Domino's
0001944013,Crane Co,CR,Crane
0000927003,ADVANCED ENERGY INDUSTRIES INC,AEIS,Advanced Energy
0000097134,TENNANT CO,TNC,Tennant Company
0001661181,Organogenesis Holdings Inc.,ORGO,Organogenesis Holdings Inc.
0000914208,Invesco Ltd.,IVZ,Invesco
0001652044,Alphabet Inc.,GOOG,Alphabet Inc. (Class C)
0001575965,"Gaming & Leisure Properties, Inc.",GLPI,Gaming and Leisure Properties
0000864749,TRIMBLE INC.,TRMB,Trimble Inc.
0000899751,TITAN INTERNATIONAL INC,TWI,"Titan International, Inc."
0000874761,AES CORP,AES,AES Corporation
0000854775,DIGI INTERNATIONAL INC,DGII,Digi International Inc.
0001373670,"Green Brick Partners, Inc.",GRBK,"Green Brick Partners, Inc."
0000074208,"UDR, Inc.",UDR,"UDR, Inc."
0001618673,Performance Food Group Co,PFGC,Performance Food Group
0001564708,NEWS CORP,NWS,News Corp (Class B)
0001507605,"MARA Holdings, Inc.",MARA,"MARA Holdings, Inc."
0000032604,EMERSON ELECTRIC CO,EMR,Emerson Electric
0001001316,"TG THERAPEUTICS, INC.",TGTX,"TG Therapeutics, Inc."
0001772016,"BELLRING BRANDS, INC.",BRBR,BellRing Brands
0001823529,"Enact Holdings, Inc.",ACT,"Enact Holdings, Inc."
0001585364,PERRIGO Co plc,PRGO,Perrigo
0000110471,WOLVERINE WORLD WIDE INC /DE/,WWW,"Wolverine World Wide, Inc."
0001069183,"AXON ENTERPRISE, INC.",AXON,Axon Enterprise
0000105770,WEST PHARMACEUTICAL SERVICES INC,WST,West Pharmaceutical Services
0001600033,"e.l.f. Beauty, Inc.",ELF,e.l.f. Beauty
0001675149,Alcoa Corp,AA,Alcoa
0000022356,COMMERCE BANCSHARES INC /MO/,CBSH,Commerce Bancshares
0001915657,HF Sinclair Corp,DINO,HF Sinclair
0000912562,"GIBRALTAR INDUSTRIES, INC.",ROCK,"Gibraltar Industries, Inc."
0000807882,JACK IN THE BOX INC,JACK,Jack in the Box
0000098362,TIMKEN CO,TKR,Timken
0001158324,"COGENT COMMUNICATIONS HOLDINGS, INC.",CCOI,"Cogent Communications Holdings, Inc."
0000923120,GREENBRIER COMPANIES INC,GBX,"The Greenbrier Companies, Inc."
0000723254,CINTAS CORP,CTAS,Cintas
0000831259,FREEPORT-MCMORAN INC,FCX,Freeport-McMoRan
0001474098,Pebblebrook Hotel Trust,PEB,Pebblebrook Hotel Trust
0001984060,Atlas Energy Solutions Inc.,AESI,"Atlas Energy Solutions, Inc."
0000080172,NATIONAL PRESTO INDUSTRIES INC,NPK,"National Presto Industries, Inc."
0000062709,"MARSH & MCLENNAN COMPANIES, INC.",MMC,Marsh McLennan
0000906553,BOYD GAMING CORP,BYD,Boyd Gaming
0000097476,TEXAS INSTRUMENTS INC,TXN,Texas Instruments
0000921825,FIRST INDUSTRIAL REALTY TRUST INC,FR,First Industrial Realty Trust
0001623925,Antero Midstream Corp,AM,Antero Midstream
0000354963,SHENANDOAH TELECOMMUNICATIONS CO/VA/,SHEN,Shenandoah Telecommunications Co
0000711404,"COOPER COMPANIES, INC.",COO,Cooper Companies (The)
0001020710,DXP ENTERPRISES INC,DXPE,"DXP Enterprises, Inc."
0001002047,"NetApp, Inc.",NTAP,NetApp
0000024741,CORNING INC /NY,GLW,Corning Inc.
0000066004,MIDDLESEX WATER CO,MSEX,Middlesex Water Company
0000704532,ONTO INNOVATION INC.,ONTO,Onto Innovation
0000818479,DENTSPLY SIRONA Inc.,XRAY,Dentsply Sirona
0001389170,Targa Resources Corp.,TRGP,Targa Resources
0000936395,CIENA CORP,CIEN,Ciena
0001596993,DORIAN LPG LTD.,LPG,Dorian LPG Ltd.
0000004904,AMERICAN ELECTRIC POWER CO INC,AEP,American Electric Power
0000814453,NEWELL BRANDS INC.,NWL,Newell Brands
0000069891,NATIONAL BEVERAGE CORP,FIZZ,National Beverage Corp.
0001341439,ORACLE CORP,ORCL,Oracle Corporation
0001555280,Zoetis Inc.,ZTS,Zoetis
0001670541,Adient plc,ADNT,Adient
0000202058,"L3HARRIS TECHNOLOGIES, INC. /DE/",LHX,L3Harris
0000030697,Wendy's Co,WEN,The Wendy's Company
0001088856,CORCEPT THERAPEUTICS INC,CORT,Corcept Therapeutics Incorporated
0001489393,LyondellBasell Industries N.V.,LYB,LyondellBasell
0000719413,HECLA MINING CO/DE/,HL,Hecla Mining
0001627223,Chemours Co,CC,Chemours
0000775158,OSHKOSH CORP,OSK,Oshkosh
0000093556,"STANLEY BLACK & DECKER, INC.",SWK,Stanley Black & Decker
0002074176,"Viper Energy, Inc.",VNOM,Viper Energy
0000310354,STANDEX INTERNATIONAL CORP/DE/,SXI,Standex International Corporation
0001463101,"Enphase Energy, Inc.",ENPH,Enphase Energy
0000811589,FIRST BANCORP /NC/,FBNC,First Bancorp (Southern Pines NC)
0001265131,Hilltop Holdings Inc.,HTH,Hilltop Holdings Inc.
0000006951,APPLIED MATERIALS INC /DE,AMAT,Applied Materials
0000892553,CHART INDUSTRIES INC,GTLS,Chart Industries
0001051470,CROWN CASTLE INC.,CCI,Crown Castle
0000076605,PATRICK INDUSTRIES INC,PATK,"Patrick Industries, Inc."
0000702165,NORFOLK SOUTHERN CORP,NSC,Norfolk Southern
0001013488,BJs RESTAURANTS INC,BJRI,"BJ's Restaurants, Inc."
0000714310,VALLEY NATIONAL BANCORP,VLY,Valley Bank
0001021860,NOV Inc.,NOV,NOV Inc.
0000895421,MORGAN STANLEY,MS,Morgan Stanley
0000792987,ASTEC INDUSTRIES INC,ASTE,"Astec Industries, Inc."
0001559720,"Airbnb, Inc.",ABNB,Airbnb
0001817358,"Academy Sports & Outdoors, Inc.",ASO,Academy Sports + Outdoors
0001360604,Healthcare Realty Trust Inc,HR,Healthcare Realty Trust
0001417398,"Hillenbrand, Inc.",HI,"Hillenbrand, Inc."
0001003078,MSC INDUSTRIAL DIRECT CO INC,MSM,MSC Industrial Direct
0001759655,"Privia Health Group, Inc.",PRVA,"Privia Health Group, Inc."
0000917251,AGREE REALTY CORP,ADC,Agree Realty
0001319161,Warner Music Group Corp.,WMG,Warner Music Group
0001093557,DEXCOM INC,DXCM,Dexcom
0000823768,WASTE MANAGEMENT INC,WM,Waste Management
0001803696,Adeia Inc.,ADEA,"Adeia, Inc."
0001078075,NETSCOUT SYSTEMS INC,NTCT,"NETSCOUT Systems, Inc."
0001066605,HEIDRICK & STRUGGLES INTERNATIONAL INC,HSII,"Heidrick & Struggles International, Inc."
0001324404,"CF Industries Holdings, Inc.",CF,CF Industries
0001767258,"XPEL, Inc.",XPEL,"XPEL, Inc."
0000916540,DARLING INGREDIENTS INC.,DAR,Darling Ingredients
0001219601,"CROWN HOLDINGS, INC.",CCK,Crown Holdings
0001396814,"Pacira BioSciences, Inc.",PCRX,"Pacira BioSciences, Inc."
0000014707,CALERES INC,CAL,"Caleres, Inc."
0001500217,"American Assets Trust, Inc.",AAT,American Assets Trust
0001070985,"CoreCivic, Inc.",CXW,CoreCivic
0000936468,LOCKHEED MARTIN CORP,LMT,Lockheed Martin
0001326801,"Meta Platforms, Inc.",META,Meta Platforms
0000789460,WORLD KINECT CORP,WKC,World Kinect Corporation
0000038777,FRANKLIN RESOURCES INC,BEN,Franklin Resources
0000715957,"DOMINION ENERGY, INC",D,Dominion Energy
0001996810,GE Vernova Inc.,GEV,GE Vernova
0001318605,"Tesla, Inc.",TSLA,"Tesla, Inc."
0001513761,Norwegian Cruise Line Holdings Ltd.,NCLH,Norwegian Cruise Line Holdings
0001512673,"Block, Inc.",XYZ,"Block, Inc."
0000100517,"United Airlines Holdings, Inc.",UAL,United Airlines Holdings
0001116942,TTM TECHNOLOGIES INC,TTMI,"TTM Technologies, Inc."
0001316835,"Builders FirstSource, Inc.",BLDR,Builders FirstSource
0001451809,SITIME Corp,SITM,SiTime
0001018724,AMAZON COM INC,AMZN,Amazon
0000051143,INTERNATIONAL BUSINESS MACHINES CORP,IBM,IBM
0001063761,SIMON PROPERTY GROUP INC.,SPG,Simon Property Group
0001433195,APPFOLIO INC,APPF,AppFolio
0000077476,PEPSICO INC,PEP,PepsiCo
0000926326,"OMNICELL, INC.",OMCL,Omnicell
0000064803,CVS HEALTH Corp,CVS,CVS Health
0001099219,METLIFE INC,MET,MetLife
0001274494,"FIRST SOLAR, INC.",FSLR,First Solar
0001029142,DYNAVAX TECHNOLOGIES CORP,DVAX,Dynavax Technologies Corp.
0000821002,G III APPAREL GROUP LTD /DE/,GIII,"G-III Apparel Group, Ltd."
0001123360,GLOBAL PAYMENTS INC,GPN,Global Payments
0001335258,"Live Nation Entertainment, Inc.",LYV,Live Nation Entertainment
0001639300,"Ollie's Bargain Outlet Holdings, Inc.",OLLI,Ollie's Bargain Outlet
0001677576,INNOVATIVE INDUSTRIAL PROPERTIES INC,IIPR,"Innovative Industrial Properties, Inc."
0001685040,"Brighthouse Financial, Inc.",BHF,Brighthouse Financial
0001964738,Solventum Corp,SOLV,Solventum
0000090896,"Champion Homes, Inc.",SKY,"Champion Homes, Inc."
0001390777,Bank of New York Mellon Corp,BK,BNY Mellon
0001707925,LINDE PLC,LIN,Linde plc
0000821189,EOG RESOURCES INC,EOG,EOG Resources
0001803737,"Enhabit, Inc.",EHAB,"Enhabit, Inc."
0001665918,US Foods Holding Corp.,USFD,US Foods
0001158463,JETBLUE AIRWAYS CORP,JBLU,JetBlue
0000899923,MYRIAD GENETICS INC,MYGN,"Myriad Genetics, Inc."
0000029534,DOLLAR GENERAL CORP,DG,Dollar General
0000356309,NEW JERSEY RESOURCES CORP,NJR,New Jersey Resources
0000788784,PUBLIC SERVICE ENTERPRISE GROUP INC,PEG,Public Service Enterprise Group
0001013857,PEGASYSTEMS INC,PEGA,Pegasystems
0001434588,"Grand Canyon Education, Inc.",LOPE,Grand Canyon Education
0001671933,"Trade Desk, Inc.",TTD,Trade Desk (The)
0001434621,"LendingTree, Inc.",TREE,LendingTree
0000354190,Arthur J. Gallagher & Co.,AJG,Arthur J. Gallagher & Co.
0001111335,VISTEON CORP,VC,Visteon
0001212545,WESTERN ALLIANCE BANCORPORATION,WAL,Western Alliance Bancorporation
0001659166,Fortive Corp,FTV,Fortive
0001061983,CYTOKINETICS INC,CYTK,Cytokinetics
0000703351,"BRINKER INTERNATIONAL, INC",EAT,"Brinker International, Inc."
0001368514,"ADMA BIOLOGICS, INC.",ADMA,"ADMA Biologics, Inc."
0000712537,FIRST COMMONWEALTH FINANCIAL CORP /PA/,FCF,"First Commonwealth Financial, Corp."
0001834622,"Hayward Holdings, Inc.",HAYW,"Hayward Holdings, Inc."
0000946581,TAKE TWO INTERACTIVE SOFTWARE INC,TTWO,Take-Two Interactive
0001471265,"Northwest Bancshares, Inc.",NWBI,"Northwest Bancshares, Inc."
0001418121,"Apple Hospitality REIT, Inc.",APLE,"Apple Hospitality REIT, Inc."
0001645590,Hewlett Packard Enterprise Co,HPE,Hewlett Packard Enterprise
0001873923,Orion Properties Inc.,ONL,Orion Office REIT
0001528129,"Vital Energy, Inc.",VTLE,"Vital Energy, Inc."
0000088941,SEMTECH CORP,SMTC,Semtech Corporation
0000763744,LCI INDUSTRIES,LCII,LCI Industries
0001336917,"Under Armour, Inc.",UA,Under Armour (Class C)
0001428336,"HEALTHEQUITY, INC.",HQY,HealthEquity
0000723612,"AVIS BUDGET GROUP, INC.",CAR,Avis Budget Group
0001122976,AVIENT CORP,AVNT,Avient
0000037808,FNB CORP/PA/,FNB,FNB Corporation
0001095073,"EVEREST GROUP, LTD.",EG,Everest Group
0001569187,"Armada Hoffler Properties, Inc.",AHH,"Armada Hoffler Properties, Inc."
0001005817,TOMPKINS FINANCIAL CORP,TMP,Tompkins Financial Corporation
0000033213,EQT Corp,EQT,EQT Corporation
