cik,company_name,sic_code,sic_division,division_name,sic_major_group,major_group_name,sic_industry_group
0001389170,TARGA RESOURCES CORP.,4922,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",492
0001122976,AVIENT CORP,2821,D,Manufacturing,28,Chemicals & Allied Products,282
0000749251,GARTNER INC,8741,I,Services,87,Engineering & Management Services,874
0001845815,PAYONEER GLOBAL INC.,7389,I,Services,73,Business Services,738
0001468328,ADDUS HOMECARE CORP,8082,I,Services,80,Health Services,808
0001555280,ZOETIS INC.,2834,D,Manufacturing,28,Chemicals & Allied Products,283
0001551152,ABBVIE INC.,2834,D,Manufacturing,28,Chemicals & Allied Products,283
0000788784,PUBLIC SERVICE ENTERPRISE GROUP INC,4931,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",493
0000731766,UNITEDHEALTH GROUP INC,6324,H,"Finance, Insurance & Real Estate",63,Insurance Carriers,632
0001038074,SILICON LABORATORIES INC.,3674,D,Manufacturing,36,Electronic & Electrical Equipment,367
0001013488,BJS RESTAURANTS INC,5812,G,Retail Trade,58,Eating & Drinking Places,581
0000805676,PARK NATIONAL CORP /OH/,6021,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0001955520,KNIFE RIVER CORP,1400,B,Mining,14,Mining of Nonmetallic Minerals,140
0000755001,UNITIL CORP,4931,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",493
0001418121,"APPLE HOSPITALITY REIT, INC.",6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001497645,"SUMMIT HOTEL PROPERTIES, INC.",6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0000018349,SYNOVUS FINANCIAL CORP,6021,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0001609550,"INSPIRE MEDICAL SYSTEMS, INC.",3841,D,Manufacturing,38,Measuring & Analyzing Instruments,384
0001066605,HEIDRICK & STRUGGLES INTERNATIONAL INC,7361,I,Services,73,Business Services,736
0000895421,MORGAN STANLEY,6211,H,"Finance, Insurance & Real Estate",62,Security & Commodity Brokers,621
0001627223,CHEMOURS CO,2800,D,Manufacturing,28,Chemicals & Allied Products,280
0001434621,"LENDINGTREE, INC.",6163,H,"Finance, Insurance & Real Estate",61,Non-Depository Credit Institutions,616
0000860546,COPT DEFENSE PROPERTIES,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0000034088,EXXON MOBIL CORP,2911,D,Manufacturing,29,Petroleum Refining & Related,291
0001754301,FOX CORP,4833,E,Transportation & Utilities,48,Communications,483
0000906107,EQUITY RESIDENTIAL,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001390777,BANK OF NEW YORK MELLON CORP,6022,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0000715957,"DOMINION ENERGY, INC",4911,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",491
0001517302,ARTISAN PARTNERS ASSET MANAGEMENT INC.,6282,H,"Finance, Insurance & Real Estate",62,Security & Commodity Brokers,628
0000898174,REINSURANCE GROUP OF AMERICA INC,6311,H,"Finance, Insurance & Real Estate",63,Insurance Carriers,631
0000892553,CHART INDUSTRIES INC,3443,D,Manufacturing,34,Fabricated Metal Products,344
0000723612,"AVIS BUDGET GROUP, INC.",7510,I,Services,75,Automotive Repair & Services,751
0000097745,THERMO FISHER SCIENTIFIC INC.,3829,D,Manufacturing,38,Measuring & Analyzing Instruments,382
0001500217,"AMERICAN ASSETS TRUST, INC.",6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001273685,NEW YORK MORTGAGE TRUST INC,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001078075,NETSCOUT SYSTEMS INC,7373,I,Services,73,Business Services,737
0001018724,AMAZON COM INC,5961,G,Retail Trade,59,Miscellaneous Retail,596
0000008670,AUTOMATIC DATA PROCESSING INC,7374,I,Services,73,Business Services,737
0000712515,ELECTRONIC ARTS INC.,7372,I,Services,73,Business Services,737
0000910606,REGENCY CENTERS CORP,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001424929,FOX FACTORY HOLDING CORP,3751,D,Manufacturing,37,Transportation Equipment,375
0001099219,METLIFE INC,6311,H,"Finance, Insurance & Real Estate",63,Insurance Carriers,631
0001489393,LYONDELLBASELL INDUSTRIES N.V.,2860,D,Manufacturing,28,Chemicals & Allied Products,286
0000310354,STANDEX INTERNATIONAL CORP/DE/,3580,D,Manufacturing,35,Industrial Machinery & Equipment,358
0000024741,CORNING INC /NY,3357,D,Manufacturing,33,Primary Metal Industries,335
0000352541,ALLIANT ENERGY CORP,4931,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",493
0000097134,TENNANT CO,3580,D,Manufacturing,35,Industrial Machinery & Equipment,358
0000065984,ENTERGY CORP /DE/,4911,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",491
0001219601,"CROWN HOLDINGS, INC.",3411,D,Manufacturing,34,Fabricated Metal Products,341
0000355811,GENTEX CORP,3714,D,Manufacturing,37,Transportation Equipment,371
0000320193,APPLE INC,3571,D,Manufacturing,35,Industrial Machinery & Equipment,357
0001704715,"ALPHA METALLURGICAL RESOURCES, INC.",1221,B,Mining,12,Coal Mining,122
0001374310,"CBOE GLOBAL MARKETS, INC.",6200,H,"Finance, Insurance & Real Estate",62,Security & Commodity Brokers,620
0001849253,"RYAN SPECIALTY HOLDINGS, INC.",6411,H,"Finance, Insurance & Real Estate",64,Insurance Agents & Brokers,641
0001597033,SABRE CORP,7370,I,Services,73,Business Services,737
0000059558,LINCOLN NATIONAL CORP,6311,H,"Finance, Insurance & Real Estate",63,Insurance Carriers,631
0000030697,WENDY'S CO,5810,G,Retail Trade,58,Eating & Drinking Places,581
0000092122,SOUTHERN CO,4911,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",491
0000927628,CAPITAL ONE FINANCIAL CORP,6021,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0001944013,CRANE CO,3490,D,Manufacturing,34,Fabricated Metal Products,349
0000074208,"UDR, INC.",6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001159036,"HALOZYME THERAPEUTICS, INC.",2836,D,Manufacturing,28,Chemicals & Allied Products,283
0000099780,TRINITY INDUSTRIES INC,3743,D,Manufacturing,37,Transportation Equipment,374
0001123360,GLOBAL PAYMENTS INC,7389,I,Services,73,Business Services,738
0000860730,"HCA HEALTHCARE, INC.",8062,I,Services,80,Health Services,806
0001370637,ETSY INC,7389,I,Services,73,Business Services,738
0001675149,ALCOA CORP,3334,D,Manufacturing,33,Primary Metal Industries,333
0000704532,ONTO INNOVATION INC.,3829,D,Manufacturing,38,Measuring & Analyzing Instruments,382
0001045450,EPR PROPERTIES,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001212545,WESTERN ALLIANCE BANCORPORATION,6022,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0001274173,JANUS HENDERSON GROUP PLC,6282,H,"Finance, Insurance & Real Estate",62,Security & Commodity Brokers,628
0000874761,AES CORP,4991,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",499
0001796209,API GROUP CORP,7340,I,Services,73,Business Services,734
0000066004,MIDDLESEX WATER CO,4941,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",494
0000059527,LINCOLN ELECTRIC HOLDINGS INC,3540,D,Manufacturing,35,Industrial Machinery & Equipment,354
0001705696,VICI PROPERTIES INC.,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001591698,PAYLOCITY HOLDING CORP,7372,I,Services,73,Business Services,737
0001326801,"META PLATFORMS, INC.",7370,I,Services,73,Business Services,737
0000879101,KIMCO REALTY CORP,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001626115,PJT PARTNERS INC.,6282,H,"Finance, Insurance & Real Estate",62,Security & Commodity Brokers,628
0000277509,FEDERAL SIGNAL CORP /DE/,3711,D,Manufacturing,37,Transportation Equipment,371
0001057877,IDACORP INC,4911,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",491
0001620533,SHAKE SHACK INC.,5810,G,Retail Trade,58,Eating & Drinking Places,581
0001915657,HF SINCLAIR CORP,4610,E,Transportation & Utilities,46,Pipelines,461
0000910521,DECKERS OUTDOOR CORP,3021,D,Manufacturing,30,Rubber & Miscellaneous Plastics,302
0001707925,LINDE PLC,2810,D,Manufacturing,28,Chemicals & Allied Products,281
0000003453,"MATSON, INC.",4400,E,Transportation & Utilities,44,Water Transportation,440
0001783879,"ROBINHOOD MARKETS, INC.",6211,H,"Finance, Insurance & Real Estate",62,Security & Commodity Brokers,621
0001000753,"INSPERITY, INC.",7363,I,Services,73,Business Services,736
0001596993,DORIAN LPG LTD.,4412,E,Transportation & Utilities,44,Water Transportation,441
0001324404,"CF INDUSTRIES HOLDINGS, INC.",2870,D,Manufacturing,28,Chemicals & Allied Products,287
0001408198,MSCI INC.,7389,I,Services,73,Business Services,738
0000026324,CURTISS WRIGHT CORP,3590,D,Manufacturing,35,Industrial Machinery & Equipment,359
0000906553,BOYD GAMING CORP,7011,I,Services,70,Hotels & Lodging Places,701
0001058090,CHIPOTLE MEXICAN GRILL INC,5812,G,Retail Trade,58,Eating & Drinking Places,581
0001025378,W. P. CAREY INC.,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0000103379,V F CORP,2320,D,Manufacturing,23,Apparel & Other Finished Products,232
0000095029,STURM RUGER & CO INC,3480,D,Manufacturing,34,Fabricated Metal Products,348
0001996862,BUNGE GLOBAL SA,2070,D,Manufacturing,20,Food & Kindred Products,207
0001623925,ANTERO MIDSTREAM CORP,4922,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",492
0001809987,"MIRION TECHNOLOGIES, INC.",3829,D,Manufacturing,38,Measuring & Analyzing Instruments,382
0000896156,ETHAN ALLEN INTERIORS INC,2511,D,Manufacturing,25,Furniture & Fixtures,251
0001373670,"GREEN BRICK PARTNERS, INC.",1531,C,Construction,15,Building Construction,153
0001567683,"CLEARWAY ENERGY, INC.",4911,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",491
0001659166,FORTIVE CORP,3823,D,Manufacturing,38,Measuring & Analyzing Instruments,382
0001679788,"COINBASE GLOBAL, INC.",6199,H,"Finance, Insurance & Real Estate",61,Non-Depository Credit Institutions,619
0000315213,ROBERT HALF INC.,7363,I,Services,73,Business Services,736
0000051143,INTERNATIONAL BUSINESS MACHINES CORP,3570,D,Manufacturing,35,Industrial Machinery & Equipment,357
0000927003,ADVANCED ENERGY INDUSTRIES INC,3679,D,Manufacturing,36,Electronic & Electrical Equipment,367
0000895417,EQUITY LIFESTYLE PROPERTIES INC,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001718512,GATES INDUSTRIAL CORP PLC,3560,D,Manufacturing,35,Industrial Machinery & Equipment,356
0001109357,EXELON CORP,4931,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",493
0001088856,CORCEPT THERAPEUTICS INC,2834,D,Manufacturing,28,Chemicals & Allied Products,283
0001467760,"APOLLO COMMERCIAL REAL ESTATE FINANCE, INC.",6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0000093389,"STANDARD MOTOR PRODUCTS, INC.",3714,D,Manufacturing,37,Transportation Equipment,371
0001360604,HEALTHCARE REALTY TRUST INC,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0000899751,TITAN INTERNATIONAL INC,3312,D,Manufacturing,33,Primary Metal Industries,331
0001275014,"ULTRA CLEAN HOLDINGS, INC.",3674,D,Manufacturing,36,Electronic & Electrical Equipment,367
0001876588,ZIMVIE INC.,3843,D,Manufacturing,38,Measuring & Analyzing Instruments,384
0001297989,"EXLSERVICE HOLDINGS, INC.",7389,I,Services,73,Business Services,738
0000856982,MERIT MEDICAL SYSTEMS INC,3841,D,Manufacturing,38,Measuring & Analyzing Instruments,384
0000894315,SITE CENTERS CORP.,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001624794,"CSW INDUSTRIALS, INC.",2891,D,Manufacturing,28,Chemicals & Allied Products,289
0001652044,ALPHABET INC.,7370,I,Services,73,Business Services,737
0000912562,"GIBRALTAR INDUSTRIES, INC.",3310,D,Manufacturing,33,Primary Metal Industries,331
0000033213,EQT CORP,1311,B,Mining,13,Oil & Gas Extraction,131
0000014930,BRUNSWICK CORP,3510,D,Manufacturing,35,Industrial Machinery & Equipment,351
0001442145,"VERISK ANALYTICS, INC.",7374,I,Services,73,Business Services,737
0000703351,"BRINKER INTERNATIONAL, INC",5812,G,Retail Trade,58,Eating & Drinking Places,581
0001005284,UNIVERSAL DISPLAY CORP PA,3670,D,Manufacturing,36,Electronic & Electrical Equipment,367
0000775158,OSHKOSH CORP,3711,D,Manufacturing,37,Transportation Equipment,371
0000275880,PARSONS CORP,7373,I,Services,73,Business Services,737
0001051470,CROWN CASTLE INC.,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001520697,"ACADIA HEALTHCARE COMPANY, INC.",8093,I,Services,80,Health Services,809
0001274494,"FIRST SOLAR, INC.",3674,D,Manufacturing,36,Electronic & Electrical Equipment,367
0000070318,TENET HEALTHCARE CORP,8062,I,Services,80,Health Services,806
0001053507,AMERICAN TOWER CORP /MA/,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001334036,"CROCS, INC.",3021,D,Manufacturing,30,Rubber & Miscellaneous Plastics,302
0000073124,NORTHERN TRUST CORP,6022,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0000732717,AT&T INC.,4813,E,Transportation & Utilities,48,Communications,481
0000062996,MASCO CORP /DE/,3430,D,Manufacturing,34,Fabricated Metal Products,343
0001158463,JETBLUE AIRWAYS CORP,4512,E,Transportation & Utilities,45,Transportation by Air,451
0000048287,HNI CORP,2522,D,Manufacturing,25,Furniture & Fixtures,252
0000914208,INVESCO LTD.,6282,H,"Finance, Insurance & Real Estate",62,Security & Commodity Brokers,628
0001439288,ZURN ELKAY WATER SOLUTIONS CORP,3560,D,Manufacturing,35,Industrial Machinery & Equipment,356
0000927066,DAVITA INC.,8090,I,Services,80,Health Services,809
0001465740,TWO HARBORS INVESTMENT CORP.,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0000090896,"CHAMPION HOMES, INC.",2451,D,Manufacturing,24,Lumber & Wood Products,245
0001984060,ATLAS ENERGY SOLUTIONS INC.,1311,B,Mining,13,Oil & Gas Extraction,131
0000354190,ARTHUR J. GALLAGHER & CO.,6411,H,"Finance, Insurance & Real Estate",64,Insurance Agents & Brokers,641
0000070858,BANK OF AMERICA CORP /DE/,6021,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0000093556,"STANLEY BLACK & DECKER, INC.",3420,D,Manufacturing,34,Fabricated Metal Products,342
0001103982,"MONDELEZ INTERNATIONAL, INC.",2000,D,Manufacturing,20,Food & Kindred Products,200
0001018963,ATI INC,3317,D,Manufacturing,33,Primary Metal Industries,331
0001834622,"HAYWARD HOLDINGS, INC.",3580,D,Manufacturing,35,Industrial Machinery & Equipment,358
0000899629,ACADIA REALTY TRUST,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001592386,"VIRTU FINANCIAL, INC.",6211,H,"Finance, Insurance & Real Estate",62,Security & Commodity Brokers,621
0000823768,WASTE MANAGEMENT INC,4953,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",495
0000814453,NEWELL BRANDS INC.,3089,D,Manufacturing,30,Rubber & Miscellaneous Plastics,308
0000789460,WORLD KINECT CORP,5172,F,Wholesale Trade,51,Wholesale Trade - Nondurable Goods,517
0000074303,OLIN CORP,2800,D,Manufacturing,28,Chemicals & Allied Products,280
0001056288,"FEDERATED HERMES, INC.",6282,H,"Finance, Insurance & Real Estate",62,Security & Commodity Brokers,628
0001265131,HILLTOP HOLDINGS INC.,6022,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0000896622,"APTARGROUP, INC.",3089,D,Manufacturing,30,Rubber & Miscellaneous Plastics,308
0000350698,"AUTONATION, INC.",5500,G,Retail Trade,55,Automotive Dealers & Gas Stations,550
0001045609,"PROLOGIS, INC.",6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001021860,NOV INC.,3533,D,Manufacturing,35,Industrial Machinery & Equipment,353
0001433195,APPFOLIO INC,7372,I,Services,73,Business Services,737
0001783180,CARRIER GLOBAL CORP,3585,D,Manufacturing,35,Industrial Machinery & Equipment,358
0000202058,"L3HARRIS TECHNOLOGIES, INC. /DE/",3812,D,Manufacturing,38,Measuring & Analyzing Instruments,381
0000350894,SEI INVESTMENTS CO,6211,H,"Finance, Insurance & Real Estate",62,Security & Commodity Brokers,621
0000021665,COLGATE PALMOLIVE CO,2844,D,Manufacturing,28,Chemicals & Allied Products,284
0001751788,DOW INC.,2821,D,Manufacturing,28,Chemicals & Allied Products,282
0000021344,COCA COLA CO,2080,D,Manufacturing,20,Food & Kindred Products,208
0001114483,INTEGER HOLDINGS CORP,3845,D,Manufacturing,38,Measuring & Analyzing Instruments,384
0001111335,VISTEON CORP,3714,D,Manufacturing,37,Transportation Equipment,371
0001703056,ADT INC.,7381,I,Services,73,Business Services,738
0000105770,WEST PHARMACEUTICAL SERVICES INC,3841,D,Manufacturing,38,Measuring & Analyzing Instruments,384
0000811596,KAISER ALUMINUM CORP,3350,D,Manufacturing,33,Primary Metal Industries,335
0001092699,SPS COMMERCE INC,7372,I,Services,73,Business Services,737
0000029905,DOVER CORP,3530,D,Manufacturing,35,Industrial Machinery & Equipment,353
0001413329,PHILIP MORRIS INTERNATIONAL INC.,2111,D,Manufacturing,21,Tobacco Products,211
0001318605,"TESLA, INC.",3711,D,Manufacturing,37,Transportation Equipment,371
0001561680,"TRI POINTE HOMES, INC.",1531,C,Construction,15,Building Construction,153
0000217346,TEXTRON INC,3720,D,Manufacturing,37,Transportation Equipment,372
0001575965,"GAMING & LEISURE PROPERTIES, INC.",6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001003078,MSC INDUSTRIAL DIRECT CO INC,5084,F,Wholesale Trade,50,Wholesale Trade - Durable Goods,508
0001093557,DEXCOM INC,3841,D,Manufacturing,38,Measuring & Analyzing Instruments,384
0000836157,LINDSAY CORP,3523,D,Manufacturing,35,Industrial Machinery & Equipment,352
0000016058,CACI INTERNATIONAL INC /DE/,7373,I,Services,73,Business Services,737
0001125376,"ENSIGN GROUP, INC",8051,I,Services,80,Health Services,805
0000923120,GREENBRIER COMPANIES INC,3743,D,Manufacturing,37,Transportation Equipment,374
0001157408,"STRIDE, INC.",8200,I,Services,82,Educational Services,820
0001701605,BAKER HUGHES CO,3533,D,Manufacturing,35,Industrial Machinery & Equipment,353
0001013857,PEGASYSTEMS INC,7374,I,Services,73,Business Services,737
0001728951,"ESSENTIAL PROPERTIES REALTY TRUST, INC.",6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0000051644,"INTERPUBLIC GROUP OF COMPANIES, INC.",7311,I,Services,73,Business Services,731
0000200406,JOHNSON & JOHNSON,2834,D,Manufacturing,28,Chemicals & Allied Products,283
0000097476,TEXAS INSTRUMENTS INC,3674,D,Manufacturing,36,Electronic & Electrical Equipment,367
0001996810,GE VERNOVA INC.,3600,D,Manufacturing,36,Electronic & Electrical Equipment,360
0001032033,SLM CORP,6141,H,"Finance, Insurance & Real Estate",61,Non-Depository Credit Institutions,614
0001808834,"PROG HOLDINGS, INC.",7359,I,Services,73,Business Services,735
0001463101,"ENPHASE ENERGY, INC.",3674,D,Manufacturing,36,Electronic & Electrical Equipment,367
0000822416,PULTEGROUP INC/MI/,1531,C,Construction,15,Building Construction,153
0000936468,LOCKHEED MARTIN CORP,3760,D,Manufacturing,37,Transportation Equipment,376
0000702165,NORFOLK SOUTHERN CORP,4011,E,Transportation & Utilities,40,Railroad Transportation,401
0000040987,GENUINE PARTS CO,5013,F,Wholesale Trade,50,Wholesale Trade - Durable Goods,501
0000313616,DANAHER CORP /DE/,3823,D,Manufacturing,38,Measuring & Analyzing Instruments,382
0000917251,AGREE REALTY CORP,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001506307,"KINDER MORGAN, INC.",4922,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",492
0000921825,FIRST INDUSTRIAL REALTY TRUST INC,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0000062709,"MARSH & MCLENNAN COMPANIES, INC.",6411,H,"Finance, Insurance & Real Estate",64,Insurance Agents & Brokers,641
0000100517,"UNITED AIRLINES HOLDINGS, INC.",4512,E,Transportation & Utilities,45,Transportation by Air,451
0001286681,DOMINOS PIZZA INC,5140,F,Wholesale Trade,51,Wholesale Trade - Nondurable Goods,514
0000008947,AZZ INC,3470,D,Manufacturing,34,Fabricated Metal Products,347
0000066382,"MILLERKNOLL, INC.",2520,D,Manufacturing,25,Furniture & Fixtures,252
0000077476,PEPSICO INC,2080,D,Manufacturing,20,Food & Kindred Products,208
0000876167,PROGRESS SOFTWARE CORP /MA,7372,I,Services,73,Business Services,737
0000723254,CINTAS CORP,2320,D,Manufacturing,23,Apparel & Other Finished Products,232
0000039368,FULLER H B CO,2891,D,Manufacturing,28,Chemicals & Allied Products,289
